Media Source,Tweet,Created At,Tweets Ago,Compound,Positive,Neutral,Negative
@BBC,"🐻 Say hello to Kyra the sun bear... 

https://t.co/UvDxsG3QO1",Sun Sep 30 09:04:02 +0000 2018,1,0.0,0.0,1.0,0.0
@BBC,RT @BBCWorld: Indonesia quake death toll 'at least 832' https://t.co/1VCcXxRrR4,Sun Sep 30 08:30:16 +0000 2018,2,-0.5994,0.0,0.698,0.302
@BBC,"For children with autism, the stress of taking photos can be overwhelming. To make things easier, eight-year-old Le… https://t.co/U3hpweRK0D",Sun Sep 30 07:31:05 +0000 2018,3,0.0,0.124,0.752,0.124
@BBC,"This. Is. Amazing. 😮

Introducing the World Pole Climbing Championships...

https://t.co/osulkhFFhQ",Sun Sep 30 07:04:02 +0000 2018,4,0.5859,0.226,0.774,0.0
@BBC,Chile has launched a huge hiking route through its Patagonian wilderness. 🌲😍🏔  https://t.co/WFIcKZe5Hv https://t.co/RLKjTx2Emo,Sat Sep 29 20:32:03 +0000 2018,5,0.4215,0.257,0.743,0.0
@BBC,🐣😍 Conservationists have been monitoring the progress of rare Leach's storm petrel chicks on the remote Scottish ar… https://t.co/KzMHUIysAO,Sat Sep 29 17:02:12 +0000 2018,6,0.4215,0.135,0.865,0.0
@BBC,"'My children bought back the car I sold to pay for wife's cancer treatment'. ❤️️🚘

https://t.co/xOJwzbgGlE https://t.co/Tx3WYCkCXu",Sat Sep 29 16:01:07 +0000 2018,7,-0.7003,0.0,0.707,0.293
@BBC,"RT @BBCEngland: Benny the beluga whale is spending his fifth day in the Thames but appears to be healthy and swimming normally, the Port of…",Sat Sep 29 15:54:38 +0000 2018,8,0.5499,0.129,0.871,0.0
@BBC,"Always start by playing paper! 👊✋✌️

This is how to win at rock-paper-scissors... 

https://t.co/2VzUFq74FT",Sat Sep 29 15:02:04 +0000 2018,9,0.7088,0.329,0.671,0.0
@BBC,"'What do I know her from again?' 🤔📺

These are the TV actors who pop up in everything. https://t.co/XLQBs5bE5p https://t.co/DJWV8U3OhY",Sat Sep 29 14:03:07 +0000 2018,10,0.0,0.0,1.0,0.0
@BBC,"This is the world's most dangerous city to be a woman. 

https://t.co/v1qrWFF6B6",Sat Sep 29 13:01:07 +0000 2018,11,-0.5256,0.0,0.747,0.253
@BBC,"""New York City is underwhelming"". 😳😳😳
 
#UnpopularOpinion was HARSH this week. 😂 @gregjames

https://t.co/pSz5eP8YbR",Sat Sep 29 11:03:02 +0000 2018,12,-0.186,0.156,0.616,0.227
@BBC,"What's it like growing up with tourettes?

Brother and sister Jack and Rebecca describe how people react to their t… https://t.co/VXY3jdCbEu",Sat Sep 29 10:03:05 +0000 2018,13,0.4939,0.181,0.819,0.0
@BBC,"This school became a national leader by focusing on a neglected subject... 

https://t.co/5c7iSPT3rc",Sat Sep 29 09:01:02 +0000 2018,14,-0.5267,0.0,0.746,0.254
@BBC,RT @BBCOne: .@LadyGaga &amp; Jodie Whittaker playing the #DoctorWho theme tune on the theremin is a joy to behold. #TheGNShow https://t.co/0aLu…,Sat Sep 29 08:11:46 +0000 2018,15,0.6808,0.237,0.763,0.0
@BBC,"""I've broken around 80 bones"". 😬🏥

Meet the man who can't feel pain. 👉 https://t.co/6qsfeQmIct https://t.co/6jXkhYCTza",Sat Sep 29 08:05:03 +0000 2018,16,-0.1022,0.118,0.746,0.136
@BBC,"Say hello to baby Omo, a rare albino squirrel... 😍🐿️

https://t.co/FVppFQSOJw",Sat Sep 29 07:03:06 +0000 2018,17,0.0,0.0,1.0,0.0
@BBC,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of the… https://t.co/827iYwzryJ",Sat Sep 29 06:31:00 +0000 2018,18,0.0,0.0,1.0,0.0
@BBC,"The Graham Norton Show is back! Tonight Bradley Cooper, @ladygaga, Jodie Whittaker and @ryangosling join @grahnort… https://t.co/prBbKLrkaO",Fri Sep 28 20:31:03 +0000 2018,19,0.3595,0.135,0.865,0.0
@BBC,"It's the Celebrity MasterChef final! After six gruelling weeks, just two tough challenges stand between the three r… https://t.co/mLCixMGG8v",Fri Sep 28 18:32:03 +0000 2018,20,-0.126,0.065,0.846,0.089
@BBC,"🐻 Say hello to Kyra the sun bear... 

https://t.co/UvDxsG3QO1",Sun Sep 30 09:04:02 +0000 2018,21,0.0,0.0,1.0,0.0
@BBC,RT @BBCWorld: Indonesia quake death toll 'at least 832' https://t.co/1VCcXxRrR4,Sun Sep 30 08:30:16 +0000 2018,22,-0.5994,0.0,0.698,0.302
@BBC,"For children with autism, the stress of taking photos can be overwhelming. To make things easier, eight-year-old Le… https://t.co/U3hpweRK0D",Sun Sep 30 07:31:05 +0000 2018,23,0.0,0.124,0.752,0.124
@BBC,"This. Is. Amazing. 😮

Introducing the World Pole Climbing Championships...

https://t.co/osulkhFFhQ",Sun Sep 30 07:04:02 +0000 2018,24,0.5859,0.226,0.774,0.0
@BBC,Chile has launched a huge hiking route through its Patagonian wilderness. 🌲😍🏔  https://t.co/WFIcKZe5Hv https://t.co/RLKjTx2Emo,Sat Sep 29 20:32:03 +0000 2018,25,0.4215,0.257,0.743,0.0
@BBC,🐣😍 Conservationists have been monitoring the progress of rare Leach's storm petrel chicks on the remote Scottish ar… https://t.co/KzMHUIysAO,Sat Sep 29 17:02:12 +0000 2018,26,0.4215,0.135,0.865,0.0
@BBC,"'My children bought back the car I sold to pay for wife's cancer treatment'. ❤️️🚘

https://t.co/xOJwzbgGlE https://t.co/Tx3WYCkCXu",Sat Sep 29 16:01:07 +0000 2018,27,-0.7003,0.0,0.707,0.293
@BBC,"RT @BBCEngland: Benny the beluga whale is spending his fifth day in the Thames but appears to be healthy and swimming normally, the Port of…",Sat Sep 29 15:54:38 +0000 2018,28,0.5499,0.129,0.871,0.0
@BBC,"Always start by playing paper! 👊✋✌️

This is how to win at rock-paper-scissors... 

https://t.co/2VzUFq74FT",Sat Sep 29 15:02:04 +0000 2018,29,0.7088,0.329,0.671,0.0
@BBC,"'What do I know her from again?' 🤔📺

These are the TV actors who pop up in everything. https://t.co/XLQBs5bE5p https://t.co/DJWV8U3OhY",Sat Sep 29 14:03:07 +0000 2018,30,0.0,0.0,1.0,0.0
@BBC,"This is the world's most dangerous city to be a woman. 

https://t.co/v1qrWFF6B6",Sat Sep 29 13:01:07 +0000 2018,31,-0.5256,0.0,0.747,0.253
@BBC,"""New York City is underwhelming"". 😳😳😳
 
#UnpopularOpinion was HARSH this week. 😂 @gregjames

https://t.co/pSz5eP8YbR",Sat Sep 29 11:03:02 +0000 2018,32,-0.186,0.156,0.616,0.227
@BBC,"What's it like growing up with tourettes?

Brother and sister Jack and Rebecca describe how people react to their t… https://t.co/VXY3jdCbEu",Sat Sep 29 10:03:05 +0000 2018,33,0.4939,0.181,0.819,0.0
@BBC,"This school became a national leader by focusing on a neglected subject... 

https://t.co/5c7iSPT3rc",Sat Sep 29 09:01:02 +0000 2018,34,-0.5267,0.0,0.746,0.254
@BBC,RT @BBCOne: .@LadyGaga &amp; Jodie Whittaker playing the #DoctorWho theme tune on the theremin is a joy to behold. #TheGNShow https://t.co/0aLu…,Sat Sep 29 08:11:46 +0000 2018,35,0.6808,0.237,0.763,0.0
@BBC,"""I've broken around 80 bones"". 😬🏥

Meet the man who can't feel pain. 👉 https://t.co/6qsfeQmIct https://t.co/6jXkhYCTza",Sat Sep 29 08:05:03 +0000 2018,36,-0.1022,0.118,0.746,0.136
